Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty 8-13 yr G-Sec,03-11-2025,2955.5,2956.16,2951.73,2955.81,0.83,.03,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,03-11-2025,3206.17,3207.88,3204.34,3206.33,0.73,.02,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,03-11-2025,3230.6,3232.07,3221.47,3229.0,-0.99,-.03,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,03-11-2025,3467.85,3467.85,3452.94,3457.64,-9.52,-.27,-,-,-,-,-
Nifty Composite G-sec Index,03-11-2025,3037.17,3037.84,3031.82,3035.65,-0.97,-.03,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,03-11-2025,2611.39,2612.73,2608.71,2611.66,0.73,.03,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),03-11-2025,900.5,900.97,899.58,900.6,0.09,.01,-,-,-,-,-
Nifty BHARAT Bond Index - April 2030,03-11-2025,1560.57,1561.88,1560.54,1560.62,0.35,.02,-,-,-,-,-
Nifty BHARAT Bond Index - April 2031,03-11-2025,1422.79,1423.41,1422.79,1423.41,0.88,.06,-,-,-,-,-
Nifty BHARAT Bond Index - April 2032,03-11-2025,1296.67,1296.9,1296.66,1296.9,0.47,.04,-,-,-,-,-
Nifty BHARAT Bond Index - April 2033,03-11-2025,1257.61,1257.75,1257.59,1257.75,0.38,.03,-,-,-,-,-
Nifty 1D Rate Index,03-11-2025,-,-,-,2490.34,1.11,.04,-,-,-,-,-
Nifty50 USD,03-11-2025,10040.1,10086.9,9937.75,10055.05,14.96,.15,-,-,-,-,-
