date,sector,close
2026-01-01,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,15342.95
2026-01-01,NIFTY PRIVATE BANK,28787.95
2026-01-01,NIFTY SMALLCAP 50,8602.45
2026-01-01,NIFTY MIDCAP 150,22369.15
2026-01-01,NIFTY MIDCAP SELECT,13843.6
2026-01-01,NIFTY LARGEMIDCAP 250,16900.55
2026-01-01,NIFTY SME EMERGE,14403.5
2026-01-01,NIFTY OIL & GAS,12232.7
2026-01-01,NIFTY FINANCIAL SERVICES 25/50,30249.45
2026-01-01,NIFTY HEALTHCARE INDEX,14611.7
2026-01-01,NIFTY500 MULTICAP 50:25:25,16508.5
2026-01-01,NIFTY MICROCAP 250,22593.3
2026-01-01,NIFTY TOTAL MARKET,13415.4
2026-01-01,NIFTY INDIA DIGITAL,9484.9
2026-01-01,NIFTY MOBILITY,23327.35
2026-01-01,NIFTY INDIA DEFENCE,7727.1
2026-01-01,NIFTY FINANCIAL SERVICES EX-BANK,32004.15
2026-01-01,NIFTY HOUSING,11868.8
2026-01-01,NIFTY TRANSPORTATION & LOGISTICS,26069.8
2026-01-01,NIFTY MIDSMALL FINANCIAL SERVICES,20744.1
2026-01-01,NIFTY MIDSMALL HEALTHCARE,43843.55
2026-01-01,NIFTY MIDSMALL IT & TELECOM,10215.05
2026-01-01,NIFTY MIDSMALL INDIA CONSUMPTION,18976.55
2026-01-01,NIFTY REITS & INVITS,1347.18
2026-01-01,NIFTY CORE HOUSING,15591.4
2026-01-01,NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,14568.6
2026-01-01,NIFTY RURAL,16157.8
2026-01-01,NIFTY CAPITAL MARKETS,4629.9
2026-01-01,NIFTY INDIA NEW AGE CONSUMPTION,11909.45
2026-01-01,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),39341.25
2026-01-01,NIFTY INDIA RAILWAYS PSU,3516.15
2026-01-01,NIFTY CONSUMER DURABLES,36809.6
2026-01-01,NIFTY NON-CYCLICAL CONSUMER,15877.1
2026-01-01,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,16034.45
2026-01-01,NIFTY EV & NEW AGE AUTOMOTIVE,3162.35
2026-01-01,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,18113.65
2026-01-01,NIFTY INDIA TOURISM,8622.85
2026-01-01,NIFTY MIDSMALLCAP 400,20265.5
2026-01-01,NIFTY IPO,2037.15
2026-01-01,NIFTY INDIA INTERNET,1407.35
2026-01-01,NIFTY CHEMICALS,28935.7
2026-01-01,NIFTY100 LOW VOLATILITY 30,21095.95
2026-01-01,NIFTY QUALITY LOW-VOLATILITY 30,17579.95
2026-01-01,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,22735.8
2026-01-01,NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,21402.05
2026-01-01,NIFTY200 QUALITY 30,21360.75
2026-01-01,NIFTY MIDCAP150 QUALITY 50,24078.95
2026-01-01,NIFTY200 MOMENTUM 30,31318.45
2026-01-01,NIFTY INDIA MANUFACTURING,15464.9
2026-01-01,NIFTY100 ESG SECTOR LEADERS,4372.35
2026-01-01,NIFTY200 ALPHA 30,25109.75
2026-01-01,NIFTY MIDCAP150 MOMENTUM 50,62286.6
2026-01-01,NIFTY SMALLCAP250 QUALITY 50,25559.7
2026-01-01,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,43929.85
2026-01-01,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,47600.8
2026-01-01,NIFTY500 MOMENTUM 50,52947.15
2026-01-01,NIFTY200 VALUE 30,14802.65
2026-01-01,NIFTY TOP 10 EQUAL WEIGHT,9990.4
2026-01-01,NIFTY500 MULTICAP MOMENTUM QUALITY 50,41119.5
2026-01-01,NIFTY TOP 15 EQUAL WEIGHT,11016.8
2026-01-01,NIFTY TOP 20 EQUAL WEIGHT,9675.95
2026-01-01,NIFTY500 QUALITY 50,18848.85
2026-01-01,NIFTY500 LOW VOLATILITY 50,23090.55
2026-01-01,NIFTY100 ESG,5209.0
2026-01-01,NIFTY100 ENHANCED ESG,5255.6
2026-01-01,NIFTY500 VALUE 50,15608.85
2026-01-01,NIFTY100 ALPHA 30,18178.5
2026-01-01,NIFTY500 MULTIFACTOR MQVLV 50,31716.9
2026-01-01,NIFTY ALPHA LOW-VOLATILITY 30,27100.15
2026-01-01,NIFTY500 FLEXICAP QUALITY 30,10585.1
2026-01-01,NIFTY TOTAL MARKET MOMENTUM QUALITY 50,41554.2
2026-01-01,NIFTY500 EQUAL WEIGHT,14277.05
2026-01-01,NIFTY50 EQUAL WEIGHT,33420.85
2026-01-01,NIFTY SMALLCAP 500,18750.55
2026-01-01,NIFTY 50 FUTURES INDEX,6667.0
2026-01-01,NIFTY 50 ARBITRAGE,2608.26
2026-01-01,NIFTY 50 FUTURES TR INDEX,28021.94
2026-01-01,NIFTY 8-13 YR G-SEC,2972.11
2026-01-01,NIFTY 4-8 YR G-SEC INDEX,3224.16
2026-01-01,NIFTY 11-15 YR G-SEC INDEX,3244.63
2026-01-01,NIFTY 15 YR AND ABOVE G-SEC INDEX,3489.29
2026-01-01,NIFTY COMPOSITE G-SEC INDEX,3055.33
2026-01-01,NIFTY 10 YR BENCHMARK G-SEC,2616.64
2026-01-01,NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),892.93
2026-01-01,NIFTY BHARAT BOND INDEX - APRIL 2030,1566.22
2026-01-01,NIFTY BHARAT BOND INDEX - APRIL 2031,1424.77
2026-01-01,NIFTY BHARAT BOND INDEX - APRIL 2032,1296.88
2026-01-01,NIFTY BHARAT BOND INDEX - APRIL 2033,1258.86
2026-01-01,NIFTY 1D RATE INDEX,2511.42
2026-01-01,NIFTY50 USD,10079.92
2025-04-01,NIFTY NEXT 50,62372.1
2025-04-01,NIFTY 100,23713.8
2025-04-01,NIFTY 200,12809.3
2025-04-01,NIFTY MIDCAP 50,14421.7
2025-04-01,NIFTY MIDCAP 100,51229.6
2025-04-01,NIFTY SMALLCAP 100,15982.95
2025-04-01,NIFTY50 DIVIDEND POINTS,0.0
2025-04-01,NIFTY AUTO,21235.25
2025-04-01,NIFTY BANK,50827.5
2025-04-01,NIFTY ENERGY,33289.15
2025-04-01,NIFTY FINANCIAL SERVICES,24529.4
2025-04-01,NIFTY FMCG,53101.75
2025-04-01,NIFTY IT,35980.65
2025-04-01,NIFTY MEDIA,1508.3
2025-04-01,NIFTY METAL,9016.85
2025-04-01,NIFTY MNC,25935.35
2025-04-01,NIFTY PHARMA,20771.8
2025-04-01,NIFTY PSU BANK,6254.4
2025-04-01,NIFTY REALTY,824.85
2025-04-01,NIFTY INDIA CONSUMPTION,10662.4
2025-04-01,NIFTY COMMODITIES,8408.2
2025-04-01,NIFTY DIVIDEND OPPORTUNITIES 50,5785.7
2025-04-01,NIFTY INFRASTRUCTURE,8389.5
2025-04-01,NIFTY PSE,9304.2
2025-04-01,NIFTY SERVICES SECTOR,30579.75
2025-04-01,NIFTY50 SHARIAH,4606.0
2025-04-01,NIFTY500 SHARIAH,6629.2
2025-04-01,NIFTY LOW VOLATILITY 50,23289.0
2025-04-01,NIFTY ALPHA 50,45298.55
2025-04-01,NIFTY HIGH BETA 50,3323.4
2025-04-01,NIFTY100 EQUAL WEIGHT,30017.8
