date,close
2022-03-28,22.61
2022-03-29,21.3
2022-03-30,20.61
2022-03-31,20.56
2022-04-01,18.44
2022-04-04,17.91
2022-04-05,18.49
2022-04-06,19.02
2022-04-07,19.0
2022-04-08,17.69
2022-04-11,18.27
2022-04-12,18.16
2022-04-13,17.79
2022-04-18,19.34
2022-04-19,19.78
2022-04-20,18.67
2022-04-21,17.85
2022-04-22,18.35
2022-04-25,21.26
2022-04-26,19.19
2022-04-27,20.61
2022-04-28,19.38
2022-04-29,19.42
2022-05-02,20.28
2022-05-04,21.88
2022-05-05,20.29
2022-05-06,21.25
2022-05-09,22.03
2022-05-10,22.3
2022-05-11,22.8
2022-05-12,24.27
2022-05-13,23.49
2022-05-16,24.53
2022-05-17,22.74
2022-05-18,22.3
2022-05-19,24.56
2022-05-20,23.1
2022-05-23,23.4
2022-05-24,25.64
2022-05-25,25.28
2022-05-26,22.72
2022-05-27,21.48
2022-05-30,19.98
2022-05-31,20.48
2022-06-01,20.85
2022-06-02,20.32
2022-06-03,19.98
2022-06-06,20.2
2022-06-07,20.43
2022-06-08,19.84
2022-06-09,19.14
2022-06-10,19.58
2022-06-13,22.37
2022-06-14,21.89
2022-06-15,22.15
2022-06-16,22.87
2022-06-17,22.76
2022-06-20,22.41
2022-06-21,21.14
2022-06-22,21.3
2022-06-23,20.88
2022-06-24,20.55
2022-06-27,21.01
2022-06-28,21.45
2022-06-29,21.9
2022-06-30,21.84
2022-07-01,21.25
2022-07-04,20.97
2022-07-05,20.79
2022-07-06,20.27
2022-07-07,19.2
2022-07-08,18.4
2022-07-11,18.37
2022-07-12,18.55
2022-07-13,18.52
2022-07-14,18.34
2022-07-15,17.6
2022-07-18,17.16
2022-07-19,17.2
2022-07-20,16.82
2022-07-21,16.86
2022-07-22,16.65
2022-07-25,17.68
2022-07-26,18.17
2022-07-27,18.13
2022-07-28,17.01
2022-07-29,16.55
2022-08-01,17.49
2022-08-02,18.53
2022-08-03,18.45
2022-08-04,19.26
2022-08-05,18.92
2022-08-08,19.3
2022-08-10,19.59
2022-08-11,18.36
2022-08-12,17.61
2022-08-16,17.69
2022-08-17,17.68
2022-08-18,17.35
2022-08-19,18.29
2022-08-22,19.04
2022-08-23,19.05
2022-08-24,18.43
2022-08-25,19.57
2022-08-26,18.22
2022-08-29,19.82
2022-08-30,18.7
2022-09-01,19.87
2022-09-02,19.55
2022-09-05,19.66
2022-09-06,19.53
2022-09-07,19.37
2022-09-08,18.31
2022-09-09,17.72
2022-09-12,17.94
2022-09-13,17.47
2022-09-14,18.28
2022-09-15,18.39
2022-09-16,19.82
2022-09-19,19.94
2022-09-20,18.8
2022-09-21,19.33
2022-09-22,18.82
