symbol,cap_tier,cap_source,adv_cr,dlv_adv_cr,dlv_cover
TRIDENT,SMALL,nse_index,7.4,3.3,
TRITURBINE,SMALL,nse_index,38.1,18.16,
UCOBANK,SMALL,nse_index,10.2,4.68,
UTIAMC,SMALL,nse_index,12.6,8.35,
URBANCO,SMALL,nse_index,188.1,53.1,
USHAMART,SMALL,nse_index,44.9,22.84,
VTL,SMALL,nse_index,55.8,8.94,
VIJAYA,SMALL,nse_index,26.8,10.98,
WELCORP,SMALL,nse_index,516.1,149.58,
WELSPUNLIV,SMALL,nse_index,126.2,29.09,
WHIRLPOOL,SMALL,nse_index,125.1,20.7,
WOCKPHARMA,SMALL,nse_index,202.0,70.44,
ZFCVINDIA,SMALL,nse_index,28.0,17.06,
ZEEL,SMALL,nse_index,282.7,83.0,
ZENTEC,SMALL,nse_index,79.6,27.75,
ZENSARTECH,SMALL,nse_index,109.9,19.44,
ZYDUSWELL,SMALL,nse_index,24.8,6.53,
ECLERX,SMALL,nse_index,42.8,16.62,
20MICRONS,BROAD,not_in_nse_index,4.1,1.63,1.0
21STCENMGM,BROAD,not_in_nse_index,0.0,0.03,1.0
3BBLACKBIO,BROAD,not_in_nse_index,2.0,1.1,1.0
3IINFO-RE,BROAD,not_in_nse_index,0.0,0.0,0.0
3IINFOLTD,BROAD,not_in_nse_index,2.1,0.8,0.33
3IINFOTECH,BROAD,not_in_nse_index,0.0,0.0,0.0
3PLAND,BROAD,not_in_nse_index,0.0,0.01,1.0
4THDIM,BROAD,not_in_nse_index,0.0,0.0,0.0
5PAISA,BROAD,not_in_nse_index,2.2,0.95,1.0
5PAISA-RE,BROAD,not_in_nse_index,0.0,0.0,0.0
63MOONS,BROAD,not_in_nse_index,87.3,16.7,1.0
8KMILES,BROAD,not_in_nse_index,0.0,0.0,0.0
A2ZINFRA,BROAD,not_in_nse_index,0.6,0.42,1.0
AAATECH,BROAD,not_in_nse_index,0.6,0.31,1.0
AAKASH,BROAD,not_in_nse_index,0.1,0.08,1.0
AAREYDRUGS,BROAD,not_in_nse_index,1.7,0.78,0.64
AARNAV,BROAD,not_in_nse_index,0.1,0.06,0.44
AARON,BROAD,not_in_nse_index,0.5,0.2,1.0
